start_datetime duration liters month hour day max_flow fixture
1562427847 42 1625 7 17 5 56 kitchenfaucet
1562395769 25 1624 7 8 5 69 bidet
1562795454 50 1622 7 23 2 72 kitchenfaucet
1571895169 29 1621 10 7 3 60 bidet
1551251314 41 1620 2 8 2 42 washbasin
1568465776 12 1619 9 14 5 164 kitchenfaucet
1560332813 24 1618 6 11 2 72 bidet
1562676418 43 1618 7 14 1 40 washbasin
1557903196 40 1617 5 8 2 42 kitchenfaucet
1569830422 26 1616 9 10 0 65 bidet
1554045078 60 1616 3 17 6 31 washbasin
1563753378 37 1612 7 1 0 45 washbasin
1567629027 32 1610 9 22 2 56 kitchenfaucet
1556960412 45 1610 5 11 5 38 washbasin
1565037133 17 1609 8 22 0 139 kitchenfaucet
1552287610 31 1608 3 8 0 54 kitchenfaucet
1561357145 86 1608 6 8 0 20 washbasin
1552734270 17 1606 3 12 5 105 washbasin
1560068881 67 1605 6 10 6 114 kitchenfaucet
1556980214 34 1605 5 16 5 49 washbasin
1559396946 28 1603 6 15 5 65 kitchenfaucet
1562787079 29 1602 7 21 2 58 kitchenfaucet
1560670902 21 1601 6 9 6 78 bidet
1556318756 24 1601 4 0 5 69 washbasin
1569748412 33 1599 9 11 6 51 bidet
1561144432 38 1595 6 21 4 54 washbasin
1563569742 31 1594 7 22 4 56 kitchenfaucet
1553446482 36 1591 3 17 6 47 kitchenfaucet
1571897207 40 1591 10 8 3 42 washbasin
1559441526 44 1590 6 4 6 40 bidet
1550803987 39 1590 2 3 4 42 washbasin
1572176084 19 1588 10 12 6 87 bidet
1551527241 25 1588 3 12 5 67 kitchenfaucet
1557183146 32 1584 5 0 1 51 bidet
1551335658 32 1580 2 7 3 51 washbasin
1561962669 49 1577 7 8 0 33 washbasin
1570560534 25 1575 10 20 1 65 kitchenfaucet
1562170314 36 1570 7 18 2 45 kitchenfaucet
1561120310 18 1569 6 14 4 108 kitchenfaucet
1551604782 33 1569 3 10 6 51 washbasin
1556267354 43 1566 4 10 4 38 kitchenfaucet
1559282103 34 1565 5 7 4 54 bidet
1559898181 17 1565 6 11 4 549 kitchenfaucet
