duration liters month hour day max_flow fixture num_fixture av_flow_rate sec_from_midnight
36 1189 5 11 2 36 washbasin 4 33.0277777777778 33963
20 1170 4 0 1 60 washbasin 4 58.5 82516
36 1168 4 8 3 36 washbasin 4 32.4444444444444 23978
27 1165 10 21 3 47 washbasin 4 43.1481481481482 69765
20 1156 2 2 3 58 washbasin 4 57.8 4656
12 1155 10 21 5 99 washbasin 4 96.25 68459
36 1154 2 8 0 36 washbasin 4 32.0555555555556 27292
62 1150 4 5 5 22 washbasin 4 18.5483870967742 11057
21 1144 3 12 3 60 washbasin 4 54.4761904761905 42721
33 1141 10 7 0 36 washbasin 4 34.5757575757576 21197
35 1139 5 7 4 36 washbasin 4 32.5428571428571 21595
12 1139 6 21 3 96 washbasin 4 94.9166666666667 68560
33 1137 7 19 2 36 washbasin 4 34.4545454545455 63409
30 1137 9 18 2 40 washbasin 4 37.9 59529
19 1136 3 10 5 69 washbasin 4 59.7894736842105 35077
34 1136 6 12 5 38 washbasin 4 33.4117647058824 37156
28 1135 4 1 1 49 washbasin 4 40.5357142857143 84446
58 1135 6 7 1 22 washbasin 4 19.5689655172414 20729
23 1134 10 13 1 51 washbasin 4 49.304347826087 40286
26 1132 2 13 1 47 washbasin 4 43.5384615384615 46444
30 1132 4 10 5 40 washbasin 4 37.7333333333333 29877
12 1128 10 20 5 105 washbasin 4 94 68377
38 1125 5 11 2 31 washbasin 4 29.6052631578947 35870
31 1125 10 8 4 38 washbasin 4 36.2903225806452 21825
14 1123 8 18 6 85 washbasin 4 80.2142857142857 60686
11 1119 7 23 2 108 washbasin 4 101.727272727273 78822
26 1119 9 10 5 45 washbasin 4 43.0384615384615 31943
31 1115 5 19 4 38 washbasin 4 35.9677419354839 62481
29 1114 2 18 4 40 washbasin 4 38.4137931034483 61590
17 1112 6 15 5 72 washbasin 4 65.4117647058824 49617
35 1109 9 12 2 33 washbasin 4 31.6857142857143 37269
28 1104 4 15 5 42 washbasin 4 39.4285714285714 49143
